Source_File,Mode,Speed_Label,Speed_Value,Force_Limit_g,Force_Trigger_g,Trial_Index,Trial_Name,Sample_Count,Median_dt_s,Baseline_Mean_g,Baseline_Std_g,Onset_Threshold_g,Onset_Trial_Elapsed_s,Onset_Force_g,Onset_Angle,Peak_Force_g,Peak_Force_Trial_Elapsed_s,Peak_Force_Angle,Overshoot_g
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,18,speed_18,131,0.012512,-1.920000,0.183303,18.080000,2.334726,22.400000,675,662.000000,3.040152,664,562.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,19,speed_19,126,0.012475,-2.000000,0.000000,18.000000,2.824206,19.800000,682,638.000000,3.532144,664,538.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,20,speed_20,138,0.012450,-2.000000,0.000000,18.000000,2.530531,22.200000,675,350.000000,2.953551,672,250.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,1,speed_01,214,0.012424,-2.000000,0.000000,18.000000,2.838540,41.000000,661,748.000000,3.509295,662,648.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,2,speed_02,184,0.012484,-2.000000,0.000000,18.000000,3.346752,29.600000,672,757.000000,4.071721,662,657.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,3,speed_03,202,0.012440,-2.000000,0.000000,18.000000,3.070490,39.400000,661,745.000000,3.739690,662,645.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,4,speed_04,130,0.012448,-1.000000,0.000000,19.000000,4.383269,29.200000,661,752.000000,5.105283,662,652.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,5,speed_05,183,0.012438,-1.000000,0.000000,19.000000,2.601024,38.000000,661,762.000000,3.284435,661,662.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,6,speed_06,178,0.012255,-2.120000,0.256125,17.880000,2.132439,35.400000,661,745.000000,2.815908,662,645.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,7,speed_07,145,0.012498,-1.000000,0.000000,19.000000,2.117676,37.800000,661,1014.000000,2.867046,657,914.000000
